Property Address,Property Name,Property Type,Building Status,Submarket Cluster,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Year Renovated,Number Of Parking Spaces,Parking Ratio,RBA,Max Building Contiguous Space,Smallest Available Space,Total Available Space (SF),Direct Available Space,Direct Vacant Space,Sublet Available Space,Average Weighted Rent,Percent Leased,Office Space,Building Tax Expenses,Building Operating Expenses,Sublet Services,Direct Services,Leasing Company Name,Leasing Company City State Zip,Leasing Company Phone,Leasing Company Fax,Primary Agent Name,Property Manager Name,Developer Name,Owner Name,Features,Power,Ceiling Ht,Number Of Loading Docks,Drive Ins,Column Spacing,Sprinklers,Number Of Cranes,Construction Material,Rail Lines,Heating,Sewer,Water,Gas,PropertyID,Avg Rent-Direct (Industrial),Avg Rent-Sublet (Industrial),Building Park,Days On Market,Land Area (AC),Land Area (SF),LEED Certified,Latitude,Longitude,Operational Status,Rent/SF/Yr,Rent Type,Star Rating,Typical Floor Size,Zoning,Building Class,Energy Star,Property Location,Proposed Land Use,Rent
15342-15362 Graham St,,Industrial,Existing,West County,Huntington Beach,Huntington Beach,CA,92649,Orange,1998,1,,150.0,1.03,146195,84754,84754,84754,84754,84754,0,-,42.03,15880.0,2024 Tax @ $4.2645/sf,2024 Tax @ $4.2645/sf,,,CBRE,,7143719210.0,,Brad Bierbaum,Sares-Regis Group,Sares-Regis Group,Sares-Regis Group,"Fenced Lot, Mezzanine, Air Conditioning",2400a,"28'0""",14.0,"2/12'0""w x 14'0""h",52'w x 50'd,ESFR,,Masonry,,,City,City,,282970,,,,0,4.86,211702.0,,33.740261,-118.0319577,,$9.77 - 11.94 (Est.),,4,146195,RT,A,Energy Star,,,11.94
24950 Grove View Rd,,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Moreno Valley,CA,92551,Riverside,2007,1,,402.0,0.8,426700,426700,181100,607800,426700,245600,181100,-,0.0,,2024 Tax @ $0.6730/sf,2024 Tax @ $0.6730/sf,,Full Service,Colliers,,9096122614.0,,Thomas Taylor,,IDI Logistics,,"Fenced Lot, Skylights",2400a,"32'0""",56.0,"2/12'0""w x 14'0""h",52'w x 50'd,ESFR,,Reinforced Concrete,,,,,,800035,,,Grove View Business Park,0,18.22,793663.0,,33.8638354,-117.228377,,$4.24 - 5.18 (Est.),,5,426700,BP,A,,NWC of Grove View Rd. & Perris Blvd.,,5.18
4982 Hallmark Pky,,Industrial,Existing,Inland Empire East,San Bernardino,San Bernardino,CA,92407,San Bernardino,2018,1,,273.0,0.62,340080,155683,155683,155683,155683,155683,0,-,54.22,5820.0,2024 Tax @ $1.4873/sf,2024 Tax @ $1.4873/sf,,,,,,,,,,Dalfen Industrial,Storage Space,4000a/277-480v 3p 4w,"32'0""",47.0,2,60'w x 52'd,ESFR,,,,,Yes,Yes,,10293181,,,,0,14.43,628571.0,,34.1737908,-117.3441729,,$7.06 - 8.63 (Est.),,4,340080,IL,A,,,,8.63
3100 S Hamner Ave,Building 3,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2024,1,,431.0,1.72,250369,521359,250369,250369,250369,250369,0,-,0.0,,2024 Tax @ $3.4563/sf,2024 Tax @ $3.4563/sf,,,CBRE,,9094182284.0,,Eloy Covarrubias,,Crow Holdings Development,Crow Holdings Industrial,"Mezzanine, Skylights, Yard",4000a,"36'0""",38.0,2,50'w x 56'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,,12791169,,,Ontario Commerce Center,0,10.8,470448.0,,34.0174498,-117.5602835,,$8.62 - 10.53 (Est.),,4,250369,LI,A,,,,10.53
3200 S Hamner Ave,Building 4,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2024,1,,223.0,0.82,270865,270865,270865,270865,270865,0,0,-,0.0,,2024 Tax @ $3.4040/sf,2024 Tax @ $3.4040/sf,,,CBRE,,9094182284.0,,Eloy Covarrubias,,Crow Holdings Development,Crow Holdings Industrial,"Mezzanine, Skylights, Yard",4000a,"36'0""",38.0,2,50'w x 56'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,,12791183,,,Ontario Commerce Center,0,11.36,494842.0,,34.0159913,-117.560356,,$8.59 - 10.50 (Est.),,4,270865,LI,A,,,,10.5
3310 S Hamner Ave,Building 6,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2024,1,,210.0,0.84,249822,249822,249822,249822,249822,0,0,-,100.0,,2024 Tax @ $3.4973/sf,2024 Tax @ $3.4973/sf,,,CBRE,,9094182284.0,,Eloy Covarrubias,,Crow Holdings Development,Crow Holdings Industrial,"Mezzanine, Skylights, Yard",4000a,"36'0""",44.0,1,50'w x 56'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,,12791204,,,Ontario Commerce Center,0,11.01,479596.0,,34.0150364,-117.5615407,,$8.62 - 10.53 (Est.),,4,249822,LI,A,,,,10.53
3350 S Hamner Ave,Building 5,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2024,1,,132.0,0.96,136853,386800,136853,136853,136853,0,0,-,0.0,,2024 Tax @ $3.5816/sf,2024 Tax @ $3.5816/sf,,,CBRE,,9094182284.0,,Eloy Covarrubias,,Crow Holdings Development,Crow Holdings Industrial,"Mezzanine, Skylights, Yard",4000a,"36'0""",21.0,1,50'w x 56'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,,12791194,,,Ontario Commerce Center,0,6.24,271814.0,,34.0149663,-117.5593179,,$8.84 - 10.80 (Est.),,4,136853,LI,A,,,,10.8
755 Harvest Rd,California Crossings - Bldg B,Industrial,Existing,South Bay,Otay Mesa,San Diego,CA,92154,San Diego,2023,1,,272.0,1.1,247900,247900,56307,247900,247900,247900,0,-,0.0,,2024 Tax @ $2.1029/sf,2024 Tax @ $2.1029/sf,,,CBRE,,6196968350.0,,"Robert Hixson, III, SIOR",,,"Sudberry Properties, Inc.",Storage Space,3600a/277-480v 3p,"32'0""",74.0,"4/14'0""w x 14'0""h",52'w x 50'd,ESFR,,,,,,,,11097119,,,California Crossings,0,28.76,1252786.0,,32.5687755,-116.9467923,,$10.27 - 12.55 (Est.),,5,247900,A,A,,,,12.55
19115 Harvill Ave,Knox Logistics Center VII,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Perris,CA,92570,Riverside,2022,1,,782.0,0.42,1138800,1138800,1138800,1138800,0,0,1138800,-,100.0,10000.0,2023 Tax @ $2.1151/sf,2023 Tax @ $2.1151/sf,,,Cushman & Wakefield,,9099424678.0,,Philip Lombardo,,Trammell Crow Company,Trammell Crow Company,"Fenced Lot, Mezzanine, Signage, LEED Certified, Reception, Car Charging Station",4000a/277-480v 3p,"40'0""",227.0,"4/12'0""w x 15'0""h",,ESFR,,,,,,,,6714894,,,Majestic Freeway Business Center,0,64.93,2828351.0,LEED Certified,33.8401042,-117.2598885,,$6.54 - 7.99 (Est.),,5,1138800,LI,A,,NWC Cajalco Expwy & Harvill Ave,,7.99
19334 Harvill Ave,,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Perris,CA,92570,Riverside,2025,1,,189.0,0.71,99770,99770,99770,99770,99770,99770,0,-,0.0,3500.0,2023 Tax @ $0.8702/sf,2023 Tax @ $0.8702/sf,,,,,,,,,Ares Industrial Real Estate Income Trust Inc.,Ares Industrial Real Estate Income Trust Inc.,Skylights,2000a,"32'0""",17.0,1,52'w x 50'd,ESFR,,,,,,,,19278554,,,,0,9.57,416869.0,,33.8384197,-117.2507913,,$7.76 - 9.49 (Est.),,4,99770,M-SC,A,,,,9.49
16850 Heacock St,,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Moreno Valley,CA,92551,Riverside,2006,1,,304.0,0.17,756340,756340,756340,756340,756340,0,0,-,100.0,75634.0,2023 Tax @ $0.8490/sf,2023 Tax @ $0.8490/sf,,,,,,,,,Alere Property Group LLC,Clarion Partners,"Fenced Lot, Skylights, Air Conditioning",1000a/277-480v 3p 4w,"30'0""",106.0,"3/10'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,,,86360,,,,0,33.24,1447934.0,,33.8773235,-117.2417482,,$5.60 - 6.85 (Est.),,5,756340,SP-208,A,,,,6.85
6480 Hellyer Ave,Building 2,Industrial,Under Construction,South San Jose,South San Jose,San Jose,CA,95138,Santa Clara,2025,1,,136.0,0.79,171407,171407,71673,171407,171407,0,0,-,0.0,,2024 Tax @ $4.6825/sf,2024 Tax @ $4.6825/sf,,,,,,,,,Hines,Hines,,4000a/277-480v,"36'0""",38.0,2,,ESFR,,Reinforced Concrete,,,,,,20236113,,,Edenvale Industrial Park,0,12.63,550163.0,,37.2535406,-121.7742704,,$13.54 - 16.55 (Est.),,4,171407,IP,A,,,,16.55
3390 Heritage Rd,Heritage Industrial Center-BLDG A,Industrial,Existing,South Bay,Chula Vista,Chula Vista,CA,91911,San Diego,2023,2,,63.0,0.6,105550,105550,40000,105550,105550,105550,0,-,0.0,,2024 Tax @ $4.5877/sf,2024 Tax @ $4.5877/sf,,,EQT Real Estate,,6264297910.0,,Ryan Leslie,,Rockefeller Group,EQT Real Estate,"24 Hour Access, Mezzanine, Security System, Signage, Skylights, Shallow Bay, Yard, Storage Space, Monument Signage",3000a/277-480v,"32'0""",12.0,"2/12'0""w x 14'0""h",50'w x 52'd,ESFR,,Reinforced Concrete,,,,,,12764567,,,Heritage Industrial Center,0,1.469995,64033.0,,32.5980991,-117.0066731,,$11.69 - 14.29 (Est.),,4,52775,I-7,A,,,,14.29
9050 Hermosa Ave,Hermosa II,Industrial,Existing,Inland Empire West,Airport Area,Rancho Cucamonga,CA,91730,San Bernardino,2004,1,,265.0,0.41,468682,468682,468682,468682,468682,468682,0,-,0.0,10000.0,2024 Tax @ $1.6883/sf,2024 Tax @ $1.6883/sf,,,Cushman & Wakefield,,9099424640.0,,Charles Belden,,Panattoni Development Company,DWS Group,"Fenced Lot, Skylights",1600a,"30'0""",104.0,"4/10'0""w x 12'0""h",,ESFR,,Masonry,,,,,,806896,,,,0,19.4,845064.0,,34.089294,-117.586776,,$4.53 - 5.53 (Est.),,4,470515,GI,A,,,,5.53
9168 Hermosa Ave,,Industrial,Existing,Inland Empire West,Airport Area,Rancho Cucamonga,CA,91730,San Bernardino,2018,1,,82.0,0.8,102530,102530,102530,102530,102530,0,0,-,100.0,3767.0,2024 Tax @ $1.6522/sf,2024 Tax @ $1.6522/sf,,,CBRE,,9094182154.0,,Walter Arrington,,,Phelan Development Company,Skylights,800a/277-480v 3p,"32'0""",,"2/12'0""w",,ESFR,,,,,,,,6516337,,,Phelan Center Two,0,4.85,211266.0,,34.0855515,-117.584998,,$8.84 - 10.81 (Est.),,4,102530,GI,A,,6th & Hermosa,,10.81
3380 Horseless Carriage Dr,Building 4,Industrial,Existing,Inland Empire East,Corona/Eastvale,Norco,CA,92860,Riverside,2019,1,,113.0,1.4,80961,80961,80961,80961,80961,80961,0,-,0.0,,2023 Tax @ $3.1383/sf,2023 Tax @ $3.1383/sf,,Triple Net,Lee & Associates,,9512763632.0,,Herrick Johnson,,CapRock Partners,Alere Property Group LLC,"Cooler, Fenced Lot, Skylights",2000a/277-480v,"30'0""",7.0,1,,ESFR,,Reinforced Concrete,,,,,,10600054,,,Saddle Ranch Business Center,0,4.39,191228.0,,33.9296977,-117.565251,,$8.74 - 10.68 (Est.),,4,80961,M-1,A,,,,10.68
2100 E Howell Ave,Bldg 2,Industrial,Under Construction,North County,Anaheim,Anaheim,CA,92806,Orange,2025,1,,108.0,1.07,100784,100784,100784,100784,100784,0,0,-,0.0,,2024 Tax @ $1.5306/sf,2024 Tax @ $1.5306/sf,,,Voit Real Estate Services,,7149352376.0,,Seth Davenport,,Pacific Industrial,Pacific Industrial,"Fenced Lot, Skylights, Yard, Car Charging Station",2000-4000a,"36'0""",10.0,1,,ESFR,,Reinforced Concrete,,,City,City,,12830412,,,Stadium Landing,0,6.531365,284506.0,,33.8061661,-117.886885,,$10.22 - 12.49 (Est.),,5,100784,I,A,,,,12.49
23 Hughes,Building 2,Industrial,Under Construction,South County,Irvine Spectrum,Irvine,CA,92618,Orange,2025,1,,66.0,0.92,71640,71640,71640,71640,71640,0,0,-,0.0,6968.0,2024 Tax @ $1.7332/sf,2024 Tax @ $1.7332/sf,,,,,,,,,EBS Realty Partners,EBS Realty Partners,,3000a/277-480v,"36'0""",7.0,1,,ESFR,,,,,,,,14268677,,,,763,3.14,136778.0,,33.653707,-117.7193087,,$11.49 - 14.04 (Est.),,4,71640,5.4 General Industrial,A,,,,14.04
3700 Indian Ave,Hanesbrands Distribution Center,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Perris,CA,92571,Riverside,2009,1,,738.0,0.36,1309754,323113,303435,626548,0,0,626548,-,100.0,,2024 Tax @ $1.5230/sf,2024 Tax @ $1.5230/sf,,,,,,,,,Ridge Property Trust,Link Logistics Real Estate,"Fenced Lot, Signage, Skylights",5000a,"32'0""",225.0,"4/12'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,,,1526675,,,Perris Ridge Commerce Center I,0,57.79,2517332.0,LEED Certified,33.8387035,-117.2304036,,$6.59 - 8.06 (Est.),,5,1309754,IL,A,,NEC of Indian Ave. & Morgan St.,,8.06
3900 Indian Ave,Perris Distribution Center 1,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Perris,CA,92571,Riverside,2014,1,,371.0,0.4,579708,579708,579708,579708,579708,0,0,-,100.0,12000.0,2024 Tax @ $0.2637/sf,2024 Tax @ $0.2637/sf,,,JLL,,9094676885.0,,Michael McCrary,CBRE,Ridge Property Trust,Ares Management Corp,"Fenced Lot, Mezzanine, Skylights, Fluorescent Lighting",4000a/480v 3p,"32'0""",109.0,"4/12'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,,,1526682,,,SRG Perris Logistics Center,0,28.8,1254528.0,LEED Certified,33.8415278,-117.228791,,$6.82 - 8.33 (Est.),,4,579708,LI,A,,NWC of N. Perris Blvd. & Morgan St .,,8.33
13133 Innovation Way,Distribution Centre 1,Industrial,Existing,Inland Empire North,Mojave River Valley,Victorville,CA,92394,San Bernardino,2008,1,,733.0,1.0,1001096,505192,505192,505192,505192,505192,0,-,49.54,5000.0,2024 Tax @ $0.8000/sf,2024 Tax @ $0.8000/sf,,,CBRE,,9094182149.0,,Jay Dick,"Covington Group, Inc",Stirling Enterprises,H.I.G. Realty Partners,"Fenced Lot, Skylights",4000a/277-480v 3p,"32'0""",179.0,"4/10'0""w x 12'0""h",,ESFR,,Reinforced Concrete,,,,,,697557,,,Southern California Logistics Ctr,0,42.55,1853478.0,LEED Certified - Gold,34.5740365,-117.3802355,,$1.80 (Est.),,5,1000010,SP1-92,A,,,,
5702 Institution Rd,,Industrial,Under Construction,Inland Empire East,San Bernardino,San Bernardino,CA,92407,San Bernardino,2025,1,,238.0,0.4,335460,335460,335460,335460,335460,0,0,-,0.0,,2024 Tax @ $0.8936/sf,2024 Tax @ $0.8936/sf,,,,,,,,"Logistics Property Company, LLC",,,Air Conditioning,4000a,"40'0""",92.0,2,,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,18914236,,,,58,16.54,720482.0,LEED Certified - Gold,34.1848396,-117.3695265,,$7.12 - 8.70 (Est.),,4,335460,IND,A,,,,8.7
13052 Jurupa Ave,,Industrial,Existing,Inland Empire West,Airport Area,Fontana,CA,92337,San Bernardino,2003,1,,640.0,0.42,827578,827578,827578,827578,827578,827578,0,-,0.0,8884.0,2024 Tax @ $0.5495/sf,2024 Tax @ $0.5495/sf,,,,,,,,"Tiarna Real Estate Services, Inc.",Rados Development - Jurupa LLC,Los Angeles LDC,"Fenced Lot, Energy Star Labeled",3000a/277v,"32'0""",155.0,"4/12'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,,,399591,,,,0,23.1,1006236.0,,34.0484556,-117.5211915,,$6.79 - 8.30 (Est.),,4,827578,M-2,A,,Jurupa & Etiwanda Avenue,,8.3
3601 Jurupa St,,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,1998,1,,250.0,0.61,411738,411738,411738,411738,411738,0,0,-,100.0,9116.0,2024 Tax @ $0.5455/sf,2024 Tax @ $0.5455/sf,,,Lee & Associates Commercial Real Estate Services,,9093732914.0,,Joseph McKay,,,Greater La Ontario Holdco LLC,"Fenced Lot, Skylights, Energy Star Labeled",800-1600a/277-480v,"30'0""",58.0,"2/12'0""w x 14'0""h",50'w x 52'd,ESFR,,Reinforced Concrete,,,,,,5485881,,,,0,17.6,766656.0,,34.05012,-117.572977,,$6.34 - 7.74 (Est.),,4,411738,SP,A,Energy Star,,,7.74
2925 S King Rd,,Industrial,Under Construction,South San Jose,East San Jose-Willow Glen,San Jose,CA,95122,Santa Clara,2025,1,,136.0,1.51,89984,89984,89984,89984,89984,0,0,-,0.0,,2024 Tax @ $0.2909/sf,2024 Tax @ $0.2909/sf,,,,,,,,,,,,4000a/277-480v 3p,"36'0""",12.0,2,56'w x 60'd,ESFR,,Reinforced Concrete,,,,,,20977341,,,,60,4.77,207781.0,,37.3114992,-121.8157282,,$15.46 - 18.90 (Est.),,4,89984,LI,B,,,,18.9
1452 W Knox St,Harbor Gateway Industrial Center,Industrial,Existing,South Bay,Torrance,Torrance,CA,90501,Los Angeles,2004,1,,176.0,0.4,442550,442550,442550,442550,442550,0,0,-,100.0,,,,,,,,,,,,Oltmans Construction Co.,"Prologis, Inc.","Fenced Lot, Skylights",5500a,"32'0""",63.0,"2/10'0""w x 12'0""h",50'w x 52'd,ESFR,,Reinforced Concrete,,,,,,744970,,,Harbor Gateway Industrial Center,0,18.66,812830.0,,33.8519931,-118.3003782,,$10.10 - 12.35 (Est.),,4,442550,M,A,,,,12.35
3335 E La Palma Ave,Phase III - Bldg A,Industrial,Existing,North County,Anaheim,Anaheim,CA,92806,Orange,2015,1,,70.0,1.55,132231,339305,132231,132231,132231,132231,0,-,0.0,,2024 Tax @ $2.4645/sf,2024 Tax @ $2.4645/sf,,Triple Net,CBRE,,7143719210.0,,Brad Bierbaum,,Panattoni Development Company,BGO,Energy Star Labeled,800-4000a/277-480v 3p 4w,"32'0""",14.0,"2/8'0""w x 10'0""h",52'w x 60'd,ESFR,,Reinforced Concrete,,,,,,9406551,,,Anaheim Concourse,0,5.95,259182.0,,33.8544492,-117.8516665,,$11.62 - 14.21 (Est.),,5,132231,SP 94-1,A,,,,14.21
6011-6013 Las Positas Rd,,Industrial,Existing,680 Corridor South,Livermore,Livermore,CA,94550,Alameda,2021,1,,104.0,0.94,111172,55586,55586,55586,0,0,55586,-,100.0,,2024 Tax @ $2.6538/sf,2024 Tax @ $2.6538/sf,,,Colliers,,9252276208.0,,Mike Lloyd,CBRE,Scannell Properties,"Stockbridge Capital Group, LLC","Skylights, Energy Star Labeled",2000a/277-480v,"32'0""",12.0,"1/12'0""w x 14'0""h",50'w x 52'd,ESFR,,,,,,,,11037791,,,,0,6.057553,263867.0,,37.7023594,-121.7188005,,$10.40 - 12.71 (Est.),,4,111172,I-3,A,Energy Star,,,12.71
1495 E Locust St,,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2002,1,,300.0,0.52,428827,428827,428827,428827,428827,0,0,-,100.0,6338.0,2024 Tax @ $0.6865/sf,2024 Tax @ $0.6865/sf,,,Colliers,,9099376342.0,,Kevin McKenna,,Oltmans Construction Co.,James Campbell Company LLC,"Fenced Lot, Skylights",2000a/277-480v 3p,"32'0""",56.0,"2/12'0""w x 14'0""h",50'w x 52'd,ESFR,,Reinforced Concrete,,,,,,637860,,,Ontario Gateway West,0,17.89,779288.0,,34.046654,-117.620665,,$6.36 - 7.77 (Est.),,4,428827,M2,A,,,,7.77
7356-7364 Marathon Dr,Phase III,Industrial,Existing,680 Corridor South,Livermore,Livermore,CA,94550,Alameda,1990,1,,970.0,2.5,388368,191952,191952,191952,191952,191952,0,-,50.57,,2024 Tax @ $0.6467/sf,2024 Tax @ $0.6467/sf,,,Cushman & Wakefield,,9256213844.0,,Mark Dowling,Harvest Properties,Steelwave,Principal Real Estate Investors,Fenced Lot,3000a/277-480v,"26'0""",34.0,"9/10'0""w x 16'0""h",24'w x 62'd,Yes,,Reinforced Concrete,,,,,,329181,,,Amador Business Center,0,17.74,772754.0,,37.6970222,-121.702433,,$8.42 - 10.29 (Est.),,4,372621,,A,,,,10.29
14089 Meridian Pky,Meridian Park North - Building 4,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Riverside,CA,92508,Riverside,2024,1,,100.0,1.25,80074,80074,80074,80074,80074,80074,0,-,0.0,3020.0,2023 Tax @ $1.3871/sf,2023 Tax @ $1.3871/sf,,,,,,,,,,Crow Holdings,"Fenced Lot, Yard",1200a/277-480v,"32'0""",15.0,"1/12'0""w x 15'0""h",,ESFR,,Reinforced Concrete,,,,,,13872962,,,,477,4.62,201247.0,,33.9144635,-117.2925991,,$6.98 - 8.53 (Est.),,4,80074,Industrial,A,,,,8.53
7275 Metro Air Pky,Building 15,Industrial,Under Construction,Sacramento County,Natomas/Northgate,Sacramento,CA,95837,Sacramento,2025,1,,139.0,0.1,145180,145180,29036,145180,145180,0,0,-,0.0,,2024 Tax @ $2.6312/sf,2024 Tax @ $2.6312/sf,,,,,,,,,,Buzz Oates,,2000a/277-480v,"32'0""",24.0,"6/12'0""w x 14'0""h",54'w x 60'd,ESFR,,Masonry,,,,,,13790715,,,Skyking Advanced Industries Center,0,7.76,338026.0,,38.6867822,-121.5721434,,$7.70 - 9.42 (Est.),,4,145180,,A,,,,9.42
7295 Metro Air Pky,Building 14,Industrial,Under Construction,Sacramento County,Natomas/Northgate,Sacramento,CA,95837,Sacramento,2025,1,,145.0,1.31,110525,110525,27631,110525,110525,0,0,-,0.0,,2024 Tax @ $3.4562/sf,2024 Tax @ $3.4562/sf,,,,,,,,,,Buzz Oates,,2000a/277v,"28'0""",24.0,"6/12'0""w x 14'0""h",54'w x 60'd,ESFR,,Masonry,,,,,,13790722,,,Skyking Advanced Industries Center,0,7.37,321037.0,,38.6885528,-121.5712455,,$7.72 - 9.43 (Est.),,4,110525,,A,,,,9.43
3524 N Mike Daley Dr,Bldg E,Industrial,Existing,Inland Empire East,San Bernardino,San Bernardino,CA,92407,San Bernardino,2008,1,,149.0,0.53,94108,94108,94108,94108,94108,94108,0,-,0.0,1897.0,2024 Tax @ $1.8197/sf,2024 Tax @ $1.8197/sf,,,JLL,,9094676885.0,,Michael McCrary,,Hillwood,Cabot Properties Inc,"Fenced Lot, Skylights",800-3000a/277-480v 3p 4w,"30'0""",15.0,"1/12'0""w x 15'0""h",52'w x 50'd,ESFR,,Masonry,,,,,,1399902,,,Interchange Business Center,0,8.05,350658.0,LEED Certified - Silver,34.1555164,-117.3320639,,$6.77 - 8.28 (Est.),,5,94108,IL,A,,,,8.28
1151 S Mildred St,Ontario Airport Mission Center #3,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2002,1,,578.0,0.51,857000,604178,604178,604178,604178,604178,0,-,29.5,13699.0,2024 Tax @ $0.7077/sf,2024 Tax @ $0.7077/sf,,,JLL,,9094676883.0,,Ruben Goodsell,Alere Property Group LLC,Western Realco/Time Square RE,Alere Property Group LLC,"Fenced Lot, Skylights, Energy Star Labeled",3200a/277-480v 3p 4w,"30'0""",119.0,"4/12'0""w x 14'0""h",52'w x 50'd,ESFR,,Reinforced Concrete,Union Pacific Railroad,,,,,628739,,,Ontario Airport Mission,0,35.66,1553350.0,,34.050159,-117.622232,,$6.67 - 8.15 (Est.),,4,857000,M2,B,,,,8.15
3550 Millcreek Ave,,Industrial,Under Construction,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2025,1,,384.0,0.53,534234,534234,534234,534234,534234,0,0,-,0.0,,,,,,,,,,,,,,,4000a/277-480v,"42'0""",84.0,2,,ESFR,,Reinforced Concrete,,,,,,19802217,,,,0,34.09,1484960.0,,34.0102293,-117.5691587,,$8.22 - 10.04 (Est.),,4,534234,,A,,,,10.04
8449 Milliken Ave,,Industrial,Existing,Inland Empire West,Airport Area,Rancho Cucamonga,CA,91730,San Bernardino,2001,1,,200.0,1.0,449370,186960,186960,186960,186960,0,0,-,100.0,,2024 Tax @ $1.0665/sf,2024 Tax @ $1.0665/sf,,,"Prologis, Inc.",,9096738715.0,,Kevin Apel,"Prologis, Inc.",,"Prologis, Inc.","Fenced Lot, Mezzanine, Signage, Skylights, Reception, Air Conditioning",Heavy,"30'0""",79.0,"2/10'0""w x 14'0""h",52'w x 50'd,ESFR,,Reinforced Concrete,,,,,,670826,,,Prologis Rancho Cucamonga Distribution Center,0,21.05,916938.0,,34.100268,-117.552588,,$6.94 - 8.48 (Est.),,4,449370,IND,A,,,,8.48
48664 Milmont Dr,,Flex,Existing,880 Corridor,Fremont,Fremont,CA,94538,Alameda,1983,2,,246.0,2.3,68503,68503,17986,68503,68503,68503,0,-,0.0,,2024 Tax @ $4.6298/sf,2024 Tax @ $4.6298/sf,,Triple Net,CBRE,,4084537410.0,,Chip Sutherland,,,MassMutual,"Bio-Tech/ Lab Space, Mezzanine, Signage",6000a/277-480v 3p,"19'0""",2.0,2,,ESFR,,Masonry,,Yes,,,,331442,,,,0,3.91,170320.0,,37.4644,-121.9211,,$15.11 - 18.47 (Est.),,4,32750,I-T,B,,,,18.47
11070 Mulberry Ave,,Industrial,Existing,Inland Empire West,Airport Area,Fontana,CA,92337,San Bernardino,1990,1,,103.0,0.71,143186,66106,66106,66106,66106,66106,0,-,53.83,,2024 Tax @ $1.0344/sf,2024 Tax @ $1.0344/sf,,,DAUM Commercial Real Estate Services,,9099801234.0,,Rick John,,,Blackstone Inc.,Fenced Lot,1600a/277-480v 3p,"26'0""",25.0,"2/10'0""w x 12'0""h",,ESFR,,Reinforced Concrete,,,,,,198384,,,Sierra Gateway Center,0,6.95,302742.0,,34.052647,-117.5081506,,$8.70 - 10.64 (Est.),,4,143186,,A,,,,10.64
13160 Napa St,BLDG A,Industrial,Existing,Inland Empire West,Airport Area,Rancho Cucamonga,CA,91739,San Bernardino,2024,1,,332.0,0.66,500403,500403,500403,500403,500403,500403,0,-,0.0,,,,,,JLL,,9094676860.0,,Peter McWilliams,,Hillwood Development Corporation,Hillwood Development Corporation,Fenced Lot,4000a/277-480v 3p 4w,"40'0""",79.0,"3/12'0""w x 14'0""h",56'w x 60'd,ESFR,,,,,,,,11471222,,,Speedway Commerce Center,0,32.83,1430075.0,,34.0915484,-117.5168258,,$8.17 - 9.98 (Est.),,5,500403,M1,A,,,,9.98
18880 Navajo Rd,,Industrial,Existing,Inland Empire North,Mojave River Valley,Apple Valley,CA,92307,San Bernardino,2018,1,,1219.0,0.47,1348140,1348140,1348140,1348140,1348140,1348140,0,-,0.0,32773.0,2024 Tax @ $1.2476/sf,2024 Tax @ $1.2476/sf,,,,,,,,,Watson Land Company,Blue Owl,Skylights,12000a/277-480v 3p,"40'0""",120.0,4,,ESFR,,,,,,,,5944526,,,Watson Logistics Center,80,106.46,4637398.0,,34.591579,-117.1942412,,$5.51 - 6.73 (Est.),,5,1348140,S-P,A,,Btw Hawthorne Rd & LaFayette St,,6.73
